months_as_customer,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,auto_make,auto_year,fraud_reported
328,48,OH,250/500,1000,1406.91,0,MALE,MD,craft-repair,husband,53300,0,2015-01-25,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,5,1,YES,1,2,YES,Saab,2004,Y
228,42,IN,250/500,2000,1197.22,5000000,MALE,MD,machine-op-inspct,other-relative,0,0,2015-01-21,Vehicle Theft,?,Minor Damage,Police,VA,8,1,?,0,0,?,Mercedes,2007,Y
134,29,OH,100/300,2000,1413.14,5000000,FEMALE,PhD,sales,own-child,35100,0,2015-02-22,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,7,3,NO,2,3,NO,Dodge,2007,N
256,41,IL,250/500,2000,1415.74,6000000,FEMALE,PhD,armed-forces,unmarried,48900,-62400,2015-01-10,Single Vehicle Collision,Front Collision,Major Damage,Police,OH,5,1,?,1,2,NO,Chevrolet,2014,Y
228,44,IL,500/1000,1000,1583.91,6000000,MALE,Associate,sales,unmarried,66000,-46000,2015-02-17,Vehicle Theft,?,Minor Damage,None,NY,20,1,NO,0,1,NO,Accura,2009,N
256,39,OH,250/500,1000,1351.1,0,FEMALE,PhD,tech-support,unmarried,0,0,2015-01-02,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,19,3,NO,0,2,NO,Saab,2003,Y
137,34,IN,250/500,1000,1333.35,0,MALE,PhD,prof-specialty,husband,0,-77000,2015-01-13,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NY,0,3,?,0,0,?,Nissan,2012,N
165,37,IL,100/300,1000,1137.03,0,MALE,Associate,tech-support,unmarried,0,0,2015-02-27,Multi-vehicle Collision,Front Collision,Total Loss,Police,VA,23,3,?,2,2,YES,Audi,2015,N
27,33,IL,100/300,500,1442.99,0,FEMALE,PhD,other-service,own-child,0,0,2015-01-30,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,21,1,NO,1,1,YES,Toyota,2012,N
212,42,IL,100/300,500,1315.68,0,MALE,PhD,priv-house-serv,wife,0,-39300,2015-01-05,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,14,1,NO,2,1,?,Saab,1996,N
235,42,OH,100/300,500,1253.12,4000000,FEMALE,Masters,exec-managerial,other-relative,38400,0,2015-01-06,Single Vehicle Collision,Front Collision,Total Loss,Police,NY,22,1,YES,2,2,?,Ford,2002,N
447,61,OH,100/300,2000,1137.16,0,FEMALE,High School,exec-managerial,other-relative,0,-51000,2015-02-15,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,21,3,YES,1,2,YES,Audi,2006,N
