,num_words,num_unique_words,num_stopwords,num_links,num_unique_domains,num_email_addresses,num_spelling_errors,num_urgent_keywords,label
0,92,63,34,0,0,0,5,0,0
1,1884,782,567,0,0,0,122,0,1
2,89,74,21,2,2,3,14,1,1
3,431,253,157,0,0,0,46,2,1
4,9,9,3,0,0,0,0,0,1
5,312,183,101,0,0,0,12,0,1
6,56,51,7,0,0,0,21,0,1
7,5,4,0,0,0,0,2,0,0
8,86,60,23,0,0,0,15,0,0
9,1296,561,38,0,0,0,991,0,1
10,264,107,45,9,1,0,73,0,0
11,5,5,1,0,0,0,0,0,1
12,110,81,3,0,0,0,63,0,1
13,923,256,180,5,3,0,130,1,0
14,254,147,81,0,0,0,25,0,0
15,58,49,2,0,0,0,24,0,1
16,78,66,26,0,0,0,0,0,0
17,158,154,10,0,0,0,69,0,1
18,119,77,47,0,0,1,1,1,0
19,10,10,4,0,0,0,1,0,1
20,15,15,3,0,0,0,4,0,1
21,152,108,50,0,0,0,2,0,1
22,74,59,26,0,0,0,2,0,0
23,44,32,5,3,3,1,12,0,1
24,13,12,3,0,0,0,0,0,1
25,229,117,91,0,0,0,2,2,1
26,104,99,13,0,0,0,6,0,1
27,83,63,25,0,0,0,4,0,0
28,122,83,20,4,1,1,15,0,1
29,290,284,13,0,0,0,29,0,1
30,66,50,20,1,1,0,5,0,0
31,1,1,0,0,0,0,0,0,1
32,131,86,24,0,0,1,12,0,0
33,247,145,95,0,0,0,0,0,1
34,400,231,116,0,0,1,43,0,0
35,117,86,47,0,0,0,10,0,0
36,44,42,7,0,0,0,1,0,1
37,19,18,3,0,0,0,3,0,1
38,338,150,94,1,1,3,56,0,0
39,3135,1230,535,19,7,2,279,3,0
40,180,129,43,2,1,1,7,0,0
41,100,65,30,1,1,0,6,0,1
42,178,41,57,0,0,0,12,0,1
43,97,45,14,0,0,0,12,0,0
44,165,107,51,0,0,5,23,0,0
45,60,60,0,0,0,0,10,0,1
46,208,139,53,6,4,1,14,1,1
47,272,97,33,0,0,1,16,0,0
48,72,50,14,0,0,0,6,0,0
49,702,320,161,30,8,3,28,1,0
50,42,38,11,0,0,0,5,0,1
51,63,48,13,0,0,0,14,0,0
52,86,68,11,0,0,0,24,0,1
53,195,108,29,8,1,0,21,1,0
54,79,65,31,0,0,0,1,0,1
55,122,91,28,0,0,0,8,1,1
56,66,55,23,0,0,0,1,1,0
57,135,96,31,0,0,0,17,0,0
58,121,91,30,4,1,0,20,0,0
59,55,55,4,0,0,0,17,0,1
60,41,36,15,0,0,0,1,0,0
61,82,68,23,0,0,0,12,1,1
62,97,67,35,3,3,1,14,0,0
63,144,115,32,3,2,0,21,0,1
