,num_words,num_unique_words,num_stopwords,num_links,num_unique_domains,num_email_addresses,num_spelling_errors,num_urgent_keywords,label
506799,102,75,39,2,2,0,4,0,1
506800,63,59,3,0,0,0,0,0,1
506803,1091,551,323,0,0,0,57,2,1
506804,91,74,32,0,0,0,5,1,1
506806,242,157,72,0,0,0,6,0,1
506817,38,36,4,0,0,0,2,0,1
506818,125,82,46,1,1,0,6,0,1
506824,169,104,46,0,0,0,0,1,1
506827,154,112,63,0,0,0,2,0,1
506830,178,41,57,0,0,0,12,0,1
506832,77,54,18,0,0,0,8,0,1
506835,74,64,9,0,0,0,16,0,1
506836,114,75,51,4,3,0,5,0,1
506837,165,110,65,0,0,0,5,0,1
506840,38,36,13,0,0,0,5,0,1
506843,33,30,5,0,0,0,1,0,1
506844,73,58,28,0,0,0,3,1,1
506846,48,41,17,0,0,0,1,0,1
506850,118,92,33,0,0,0,5,0,1
506852,468,269,172,0,0,0,59,3,1
506854,331,185,92,0,0,0,14,0,1
506855,48,43,15,0,0,0,0,0,1
506860,166,119,35,0,0,0,7,1,1
506861,51,49,8,0,0,0,2,0,1
506863,28,27,4,0,0,0,2,0,1
506870,156,105,60,0,0,0,0,0,1
506873,209,133,65,1,1,0,2,0,1
506874,498,226,211,0,0,0,17,3,1
506875,1038,465,358,0,0,0,95,2,1
506876,10,10,1,0,0,0,2,0,1
506884,65,57,21,0,0,0,5,0,1
506887,7,7,1,0,0,0,1,0,1
506888,254,137,96,0,0,0,7,0,1
506890,51,44,15,0,0,0,6,0,1
506891,494,284,162,0,0,1,23,1,1
506893,380,195,132,0,0,0,12,1,1
506894,24,23,5,0,0,0,1,1,1
506896,236,130,98,0,0,0,6,1,1
506897,263,135,76,0,0,0,6,0,1
506898,115,93,28,0,0,0,15,1,1
506899,172,106,6,0,0,0,53,0,1
506900,36,33,8,0,0,0,8,0,1
506902,142,101,35,0,0,0,7,0,1
506904,122,93,49,0,0,0,2,1,1
506909,109,72,40,0,0,0,7,0,1
506910,278,161,92,0,0,0,5,0,1
506913,52,31,20,0,0,0,8,0,1
506918,29,28,4,0,0,0,11,0,1
506920,131,80,46,4,2,0,8,0,1
506921,95,74,33,0,0,0,0,0,1
506923,140,127,21,0,0,0,37,0,1
506924,139,90,34,3,1,0,5,0,1
506925,61,51,22,0,0,0,9,0,1
506926,21,20,1,0,0,0,1,0,1
506927,131,80,46,4,2,0,8,0,1
506929,32,30,8,0,0,0,2,0,1
506930,10,10,4,0,0,0,1,0,1
506931,47,47,0,0,0,0,5,0,1
506934,195,121,13,0,0,0,58,0,1
506945,873,425,273,3,3,1,54,0,1
506948,113,70,52,0,0,0,1,1,1
506950,438,228,176,0,0,1,14,2,1
506952,51,46,10,0,0,0,13,0,1
506959,174,114,53,0,0,0,3,1,1
506963,40,40,0,0,0,0,2,0,1
506964,186,123,56,0,0,0,4,0,1
506967,276,149,111,0,0,0,9,4,1
506970,235,144,83,0,0,0,4,0,1
506971,407,234,140,1,1,3,39,2,1
506982,410,216,161,5,5,1,16,2,1
506983,715,294,224,0,0,0,6,1,1
506987,84,66,28,0,0,0,7,0,1
506989,110,92,24,0,0,0,26,0,1
506995,121,89,38,0,0,0,4,0,1
506999,11,11,1,0,0,0,5,0,1
507006,508,256,179,6,4,2,21,0,1
507007,96,66,27,0,0,0,13,0,1
507011,50,46,14,0,0,0,2,0,1
507013,88,68,32,0,0,0,14,0,1
507014,363,348,23,0,0,0,28,0,1
507015,114,88,37,0,0,0,4,0,1
507020,14,14,5,0,0,0,1,0,1
507024,465,264,131,0,0,0,26,0,1
507026,52,34,4,0,0,0,9,0,1
507027,147,96,52,0,0,0,2,1,1
507031,106,82,30,0,0,0,2,0,1
507032,120,77,49,0,0,0,5,0,1
507034,52,48,14,0,0,0,5,0,1
507037,141,91,61,0,0,0,7,0,1
507041,507,258,162,0,0,0,16,0,1
